ts,temperatura,humedad_suelo,prob_lluvia,humedad_ambiental,viento,planta,tiempo_min,frecuencia,confianza
1761253013,19.4,17.25,14.76,16.75,8.29,Lechuga,44.53,2.88,0.0
1761253022,19.4,17.25,14.76,16.75,8.29,Lechuga,44.53,2.88,0.0
1761253025,19.4,17.25,14.76,16.75,8.29,Zanahoria,47.01,2.93,0.0
1761253093,19.4,17.25,14.76,16.75,8.29,Zanahoria,47.01,2.93,0.0
1761253096,19.4,17.25,14.76,16.75,8.29,Zanahoria,47.01,2.93,0.0
1761253155,19.4,17.25,14.76,16.75,8.29,Zanahoria,47.01,2.93,0.0
1761253197,19.4,17.25,14.76,16.75,8.29,Zanahoria,47.01,2.93,0.0
1761678817,25.0,30.0,10.0,40.0,8.0,Tomate,27.5,2.1,0.0
1761680954,25.0,30.0,10.0,40.0,8.0,Tomate,27.5,2.1,0.0
1761681149,25.0,30.0,10.0,40.0,8.0,Tomate,27.5,2.1,0.0
1761681484,25.0,30.0,10.0,40.0,8.0,Tomate,27.5,2.1,0.0
1761681616,25.0,30.0,10.0,40.0,8.0,Tomate,27.5,2.1,0.0
1761681697,25.0,30.0,10.0,40.0,8.0,Tomate,27.5,2.1,0.0
1761788720,25.0,30.0,10.0,40.0,8.0,Tomate,27.5,2.1,0.0
1761790467,25.0,30.0,10.0,40.0,8.0,Tomate,27.5,2.1,0.0
1761790491,25.0,30.0,10.0,40.0,8.0,Tomate,27.5,2.1,0.0
1761792389,25.0,30.0,10.0,40.0,8.0,Tomate,27.5,2.1,0.0
1761796775,25.0,30.0,10.0,40.0,8.0,Tomate,27.5,2.1,0.0
1761796784,25.0,30.0,10.0,40.0,8.0,Tomate,27.5,2.1,0.0
1761796789,25.0,30.0,10.0,40.0,8.0,Tomate,27.5,2.1,0.0
1761796796,25.0,30.0,10.0,40.0,8.0,Tomate,27.5,2.1,0.0
1761796808,25.0,30.0,10.0,40.0,8.0,Tomate,27.5,2.1,0.0
1761797424,25.0,30.0,10.0,40.0,8.0,Tomate,27.5,2.1,0.0
1761797453,25.0,30.0,10.0,40.0,8.0,Tomate,27.5,2.1,0.0
1761797801,25.0,30.0,10.0,40.0,8.0,Tomate,27.5,2.1,0.0
1761798507,25.0,30.0,10.0,40.0,8.0,Tomate,27.5,2.1,0.0
1761798769,25.0,30.0,10.0,40.0,8.0,Tomate,27.5,2.1,0.0
1761798918,25.0,30.0,10.0,40.0,8.0,Tomate,27.5,2.1,0.0
1761798933,25.0,30.0,10.0,40.0,8.0,Lechuga,24.75,2.03,0.0
1761799547,25.0,30.0,10.0,40.0,8.0,Tomate,27.5,2.01,0.11
1761799552,25.0,30.0,10.0,40.0,8.0,Tomate,27.5,2.01,0.11
1761799631,25.0,30.0,10.0,40.0,8.0,Tomate,27.5,2.01,0.11
1761799771,25.0,30.0,10.0,40.0,8.0,Tomate,27.5,2.01,0.11
1761800770,25.0,30.0,10.0,40.0,8.0,Tomate,27.5,2.01,0.11
1761800899,25.0,30.0,10.0,40.0,8.0,Tomate,27.5,2.01,0.11
1761801239,25.0,30.0,10.0,40.0,8.0,Tomate,27.5,2.01,0.11
1761801639,25.0,30.0,10.0,40.0,8.0,Tomate,27.5,2.01,0.11
1761836502,40.04,30.0,10.0,40.0,8.0,Tomate,27.5,2.01,0.07
1761836545,39.55,66.62,53.66,83.31,31.41,Lechuga,16.62,2.36,0.14
1761836923,25.0,30.0,10.0,40.0,8.0,Tomate,27.5,2.01,0.11
1761837110,25.0,30.0,10.0,40.0,8.0,Tomate,27.5,2.01,0.11
1761837115,25.0,57.63,10.0,40.0,8.0,Tomate,23.02,1.83,0.09
1761837117,34.19,57.63,10.0,40.0,8.0,Tomate,23.02,1.83,0.08
1761837118,34.19,57.63,44.82,40.0,8.0,Tomate,11.5,1.7,0.03
1761837334,25.0,30.0,10.0,40.0,8.0,Tomate,27.5,2.01,0.11
1761837335,25.0,30.0,10.0,40.0,8.0,Tomate,27.5,2.01,0.11
1761837362,25.0,30.0,10.0,40.0,8.0,Tomate,27.5,2.01,0.11
